SPUR,KAP INDUSTRIAL,ADVTECH,REUNERT,CLICKS GROUP,CITY LODGE HOTELS,PPC,NAMPAK,MURRAY & ROBERTS,SUPER GROUP,CURRO HOLDINGS,INVICTA,PICK N PAY STORES,TSOGO SUN,SHOPRITE,GRINDROD,WOOLWORTHS HDG,FAMOUS BRANDS,AFRIMAT,MASSMART,MR PRICE GROUP,RAUBEX GROUP,THE FOSCHINI GROUP,BARLOWORLD,BIDVEST GROUP,SUN INTERNATIONAL,WLSN.BAYLY HOLMES-OVCON,MPACT,HUDACO,CASHBUILD,LEWIS GROUP,TRENCOR,ITALTILE,IMPERIAL,SPAR GROUP,TRUWORTHS INTL
900,135,405,4300,1716,6999,2975,1405,5010,650,0.0,2200,3525,1760,5590,1560,1259,1798,245,8220,2749,2350,4944,3810,9550,7800,10900,0.0,4900,6950,4665,1901,251,5900,5700,3675
900,136,405,4275,1752,7100,3050,1410,5101,660,0.0,2200,3600,1760,5750,1505,1267,1789,250,8300,2770,2400,4900,3810,9800,7685,10950,0.0,4900,6950,4732,1903,250,6070,5750,3800
900,132,405,4300,1820,7100,3000,1400,5051,630,0.0,2250,3500,1780,5750,1535,1250,1788,260,8202,2870,2500,4990,3810,9700,7816,10850,0.0,4850,6950,4800,1903,250,5850,5740,3800
940,131,410,4250,1852,7100,3000,1391,5000,630,0.0,2220,3384,1701,5701,1530,1233,1795,266,8400,2870,2450,4881,3800,9655,8149,10650,0.0,4850,6950,4816,1903,250,5692,5640,3695
995,131,410,4275,1812,7200,3000,1402,5080,630,0.0,2220,3400,1770,5620,1530,1223,1800,250,8300,2880,2485,4850,3920,9700,8290,10551,0.0,4850,6950,4855,1903,260,5781,5725,3645
965,131,412,4300,1860,7174,2979,1420,5200,660,0.0,2220,3398,1800,5620,1532,1208,1785,250,8257,2873,2550,4850,3859,9600,8650,10700,0.0,5000,6850,4722,2001,260,5700,5695,3700
950,131,413,4224,1909,7148,2860,1430,5150,640,0.0,2210,3320,1790,5570,1515,1208,1785,269,8290,2931,2595,4850,3850,9700,8388,10645,0.0,5198,6850,4802,1951,260,5675,5648,3750
950,129,413,4150,1870,7170,2900,1450,5200,640,0.0,2210,3300,1750,5560,1500,1243,1785,255,8100,2890,2575,4831,3904,9665,8300,10620,0.0,5195,6850,4730,1951,260,5600,5561,3705
950,130,410,4075,1820,7059,2876,1430,5145,640,0.0,2210,3367,1726,5527,1475,1235,1750,265,8200,2940,2543,4820,3875,9700,8170,10650,0.0,5111,6775,4697,2000,260,5600,5500,3661
944,127,412,3930,1800,7000,2868,1419,5035,620,0.0,2210,3244,1772,5400,1475,1215,1750,265,8000,2851,2599,4750,3785,9300,8155,10650,0.0,5111,6800,4540,2000,260,5550,5458,3590
