ASPEN,CAPITEC,IMPLATS,GROWPNT,NORTHAM,ANGGOLD,BATS,EXXARO,WOOLIES,NASPERS-N-,CLICKS,BIDVEST,SANLAM,REMGRO,GFIELDS,RICHEMONT,STANBANK,SHOPRIT,INVLTD,MONDIPLC,INVPLC,DISCOVERY,AMPLATS,ANGLO,FIRSTRAND,NEDBANK,SASOL,SPAR,VODACOM,MTN_GROUP
6010,5437.0,20600,1385,4100.0,29941.0,24015.0,9150.0,1515.0,24659.0,2000.0,3069,2075.0,8515.0,8052.0,2105.0,9825,5899.0,5651,3760.0,5425.0,2765.0,67000,26220,1352.0,11385.0,30499,6130.0,5800.0,12701.0
5950,5388.0,20070,1377,4060.0,29890.0,24200.0,8931.0,1525.0,24883.0,2000.0,3086,2070.0,8600.0,8096.0,2146.0,9930,5770.0,5600,3650.0,5394.0,2785.0,65900,25538,1373.0,11475.0,30025,6073.0,5900.0,12735.0
5970,5399.0,19150,1377,4000.0,29350.0,23844.0,8900.0,1509.0,25383.0,2000.0,3134,2076.0,8550.0,8166.0,2130.0,10064,5922.0,5551,3650.0,5334.0,2809.0,68861,25044,1352.0,11767.0,29655,6105.0,5840.0,13100.0
5850,5450.0,18400,1380,4050.0,30375.0,23688.0,8850.0,1545.0,25433.0,2000.0,3170,2050.0,8436.0,8336.0,2155.0,9935,5799.0,5727,3700.0,5431.0,2810.0,69000,25600,1350.0,11500.0,30400,6200.0,5733.0,13200.0
5850,5450.0,18180,1379,4110.0,29805.0,23731.0,9240.0,1575.0,25083.0,2010.0,3204,2065.0,8600.0,8247.0,2124.0,10050,5760.0,5833,3700.0,5545.0,2790.0,69700,25000,1357.0,11527.0,29301,6251.0,5760.0,12750.0
5925,5500.0,18010,1384,4006.0,28340.0,24050.0,9050.0,1590.0,24384.0,2030.0,3170,2060.0,8415.0,8717.0,2101.0,9875,5660.0,5735,3612.0,5501.0,2789.0,66000,24765,1335.0,11400.0,29205,6240.0,5780.0,12706.0
5800,5500.0,17850,1383,3960.0,29501.0,24390.0,8638.0,1530.0,24084.0,2018.0,3169,2050.0,8500.0,9151.0,2057.0,9699,5720.0,5638,3590.0,5345.0,2760.0,67000,24100,1299.0,11298.0,28799,6145.0,5800.0,12795.0
5740,5430.0,18000,1395,3800.0,31505.0,23830.0,8940.0,1522.0,24484.0,1990.0,3170,2038.0,8581.0,9152.0,2040.0,9560,5745.0,5651,3615.0,5385.0,2799.0,67000,24581,1305.0,11200.0,28650,6135.0,5850.0,12611.0
5800,5550.0,18501,1409,3775.0,32100.0,23806.0,9010.0,1523.0,25133.0,2000.0,3170,2050.0,8550.0,9341.0,2035.0,9500,5800.0,5788,3623.0,5499.0,2850.0,68600,24950,1322.0,11269.0,28395,6140.0,5750.0,12450.0
5797,5600.0,18895,1420,3850.0,32400.0,24190.0,8750.0,1533.0,24784.0,1975.0,3236,2098.0,8580.0,9636.0,2102.0,9550,5800.0,5655,3670.0,5354.0,2870.0,69000,25249,1352.0,10900.0,29300,6215.0,5750.0,12525.0
